,product code,review,date,score
172,20138496470,완젼 짱좋아요 ㅎㅎ 왜이제 삿는지  ㅋㅋㅋㅋㅋㅋ 카카오 노래틀어줘 ㅎㅎ 역시 ..ㅋㅋㅋ,19.06.16.,5
173,20138496470,맞족합니다예뻐 요 ㅎ,19.06.15.,5
174,20138496470,아이가 쓰고 있는데 좋아여~,19.06.14.,5
175,20138496470,상품좋아요 감사합니다.,19.06.14.,5
176,20138496470,빠른배송감사합니다 근데라이언피규어 얼굴왜..까져있죠ㅜ,19.06.13.,5
177,20138496470,선물받아서 집에서 여러달동안 써보고 너무 맘에들어서 이사한 지인에게 선물로 주려구 구매했는데 역시 라이언은 너무 귀엽구 깜찍합니당,19.06.12.,5
178,20138496470,빠른배송 좋네요카카오미니도 매우좋아요,19.06.11.,5
179,20138496470,너무 만족하며 사용하고 있네영,19.06.11.,5
180,20138496470,집안 일 하면서 라디오를 즐겨 듣는데 스마트폰으로 듣는게 번거롭기도 하고 블루투스 스피커 연결이 안 되서 문득 카카오 스피커가 떠올라 검색해 보고 바로 구매했습니다. 인식할 수 있는 명령어가 아주 많지는 않지만 생활 속에서 편하게 주로 사용하고 편하게 사용할 수 있어 좋네요. 특히 집안 일 할 때 라디오나 음악 쉽게 검색해서 들을 수 있는게 최고 장점이네요. 포장 깔끔하고 배송 빠르고 좋습니다. 별 4개인 이유는 카카오는 진화해야하기 때문에...,19.06.09.,4
181,20138496470,어피치를 주문했는데 다른 캐릭터가 왔어요,19.06.07.,2
182,20138496470,디자인 너무 귀엽고 예뻐요~^^,19.06.07.,5
183,20138496470,바로 이거죠.  이걸 왜 늦게 구입해서...정말 좋은거 같아요.지속 업글 바라용.,19.06.06.,5
184,20138496470,상품 잘 받았고 빠른배송 고맙습니다.,19.06.05.,4
185,20138496470,성능 좋아요 잘 받았습니다,19.06.04.,5
186,20138496470,좋아요좋아요좋아요,19.06.04.,5
187,20138496470,"오 멜론 연동해서 아주 잘쓰고 있어요...목소리 여자 남자 바꿔서...생각보다 똑똑해요...아침에 날씨, 주요뉴스,낮에는 성경,찬송,신나는음악 저녁에 음악, 잘때 명상음악, 간간히 영어공부...좋습니다. 나중에 사물기기 연동해서 쓰도록할게요",19.06.03.,5
188,20138496470,배송 빠르고 포장도 꼼꼼해서 좋습니다,19.06.03.,5
189,20138496470,배송도 빠르고 포장도 잘 되어있습니다,19.06.03.,5
190,20138496470,배송 빠르고 포장도 잘 되어 있네요,19.06.03.,5
191,20138496470,배송이나 기능에 문제 없는 제품입니다.,19.06.01.,5
192,20138496470,좋습니다. 후드라이언 ㅋㅋ,19.06.01.,4
193,20138496470,라이언 귀여워요 ㅋㅋ,19.06.01.,4
194,20138496470,쓸만하고 괜찮습니다,19.06.01.,4
195,20138496470,노래들을때랑 날씨 물어볼때 좋아요근데 휴대용배터리는 생각보다 오래 안가네요,19.05.31.,4
196,20138496470,잘 받았습니당~~^^,19.05.31.,5
197,20138496470,아기 수유 할때 유용하게 쓰고 잇어요 ~^^,19.05.30.,5
198,20138496470,편하고 직관적으로 사용하기 좋음,19.05.30.,5
199,20138496470,인공지능 카카오 짱입니다,19.05.30.,5
200,20138496470,만족해요~~ 원래 쓰던건데 하나 선물하려고 샀어요. 똑똑하고 피규어도 귀여워요!,19.05.29.,5
201,20138496470,아들이 사달라고 2주를 달달달...지금은 남편이 더 좋아해요ㅋㅋ,19.05.28.,5
202,20138496470,잘쓰고 있어요~너무 귀여워요,19.05.27.,5
203,20138496470,귀여워요오오,19.05.26.,5
204,20138496470,아직은 잘 못알아듣고 노래 듣는거 아니면 쓸일 없는듯,19.05.25.,3
205,20138496470,어린이날 선물인데도빨리배송됐고사용법도 쉬웁니다,19.05.25.,5
206,20138496470,배송도빠르고 정말 만족합니다~~,19.05.25.,5
207,20138496470,"이 판매자한테 구매하지 마세요. 배송이 늦어지길래 구매 취소를 했더니, 택배 송장도 등록하지 않은 상태에서 물건을 먼져 보내버려습니다. 귀찮아서 그냥 쓰기로 했지만 매우 불쾌했고, 배송 매우 느립니다. 그리고 포장도 뽁뽁이 하나도 없이 제품 생 박스 그대로 송장 보내서 왔습니다.  스피커는 좋아요!",19.05.24.,1
208,20138496470,배송 빠르고 좋습니다 좋아요잘쓸게요,19.05.24.,5
209,20138496470,어피치 캐릭터 너무 귀엽고 사이즈 아담해서 어디에 두어도 좋습니다~^^,19.05.23.,4
210,20138496470,배송이 정말 빨라요~ 제품도 만족하고요 ㅎ,19.05.23.,5
211,20138496470,배송 상품 만족입니다 아이랑 함께 동화책 읽기도 되니 정말 좋으네요,19.05.22.,5
212,20138496470,"빠른배송, 감사합니다... 햐...이거 신기하네요..",19.05.22.,5
213,20138496470,잘받아씁니다 잘받아씁니다~,19.05.22.,5
214,20138496470,말 잘들어서 좋아용,19.05.20.,4
215,20138496470,잘쓰도록 하겠습니다. 다음에 또 구매할께요~ 감사합니다.,19.05.17.,3
216,20138496470,포장배송상태 등 : 배송 빠르게 도착했구요. 가격도 저렴하고 포장상태나 품질 좋습니다.재구매 의향 : 있습니다.그 외 도움이 될 만한 사용후기 : 아주 만족합니다.,19.05.17.,5
